,0,AAPL,SPY
2018-03-23,0.0282,-0.023127720690574227,-0.021595692237685316
2018-03-26,0.0285,0.047471807930156595,0.0276146735654903
2018-03-27,0.0278,-0.02564102564102566,-0.016519574564381023
2018-03-28,0.0277,-0.01104906736366884,-0.0034897990489337616
2018-03-29,0.0274,0.0078087457952908945,0.013777179141812423
2018-04-02,0.0273,-0.006556204553582079,-0.022434802414303734
2018-04-03,0.0279,0.010259179265658558,0.01246505125815478
2018-04-04,0.0279,0.019122275669576805,0.011697925056571856
2018-04-05,0.028300000000000002,0.006934327836373155,0.00686177875502314
2018-04-06,0.0277,-0.025578703703703742,-0.022177039798185083
2018-04-09,0.0278,0.0099180425228651,0.0043511744320370305
2018-04-10,0.027999999999999997,0.018817994707438945,0.016332477092358966
